observed_on_string,observed_on,time_observed_at,time_zone,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1985/07/08 12:00 AM +0100,1985-07-08,1985-07-07 22:00:00 UTC,Amsterdam,Kenya,-1.2589222669,36.8455569941,212,,,,31447,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/06/03 3:36 PM MST,2017-06-03,2017-06-03 12:36:00 UTC,Nairobi,Kenya,-0.2989512711,36.8348461972,4,,,,31451,,obscured,true,,,Buvol kaferský,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/07/03 10:27 AM UTC,2017-07-03,,UTC,"Voi, KE-TT, KE",-3.6587175409,38.7108167573,4333,,,,31418,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/07/04 5:38 PM UTC,2017-07-04,,UTC,"Voi, KE-TT, KE",-3.6845319787,38.6203070599,4104,,,,31418,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/07/13 5:43 PM UTC,2017-07-13,,UTC,"Voi, KE-TT, KE",-3.7835383513,38.7562075785,3936,,,,31418,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/07/15 8:58 AM UTC,2017-07-15,,UTC,"Voi, KE-TT, KE",-3.6289838775,38.639801538,4088,,,,31418,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2012/12/01 5:25 AM UTC,2012-12-01,,UTC,"Nakuru, KE",-0.3951499498,36.1061708357,6844,,,,31451,,obscured,true,,,Cape Buffalo,Syncerus caffer caffer,Cape Buffalo,Mammalia,516814
2017/12/31 10:41 AM PST,2017-12-31,2017-12-31 18:41:00 UTC,Pacific Time (US & Canada),"Narok West, KE-NR, KE",-1.4633563531,35.3052946355,212,,,,31446,,obscured,true,,,Bufalo africano,Syncerus caffer,African Buffalo,Mammalia,42405
2015/12/22 1:29 AM EST,2015-12-22,2015-12-22 06:29:00 UTC,Eastern Time (US & Canada),"Narok, KE",-1.5132939008,34.9725959489,12173,,,,31446,,obscured,true,,,African Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
2016-02-16,2016-02-16,,Nairobi,Kenya,0.2542858007,37.2657752689,33,,,,31451,,obscured,true,,,African Buffalo,Syncerus caffer,African Buffalo,Mammalia,42405
